Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 28 1998,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Eric JONASSON,Office of School Trustee,2174,Yes
October 23 1974,General Election,St. James-Assiniboia School Division,,Gord MCKINNON,Office of School Trustee,4064,Yes
October 27 2010,General Election,Winnipeg,,Judy WASYLYCIA-LEIS,Office of Mayor,90913,No
October 23 2002,General Election,Elmwood-East Kildonan,,Greg BOZYK,Office of Councillor,2432,No
February 20 2001,By-Election,Winnipeg School Division,1,Kerry CAZZORLA,Office of School Trustee,264,No
October 28 1998,General Election,St. Charles,,Peter DE SMEDT,Office of Councillor,8648,Yes
October 28 1998,General Election,River East School Division,3,Peter KOTYK,Office of School Trustee,5137,Yes
October 26 1977,General Election,Corydon,,Robert JOHANNSON,Office of Councillor,1794,No
October 23 2002,General Election,Louis Riel School Division,4,Michael BAYER,Office of School Trustee,779,No
October 28 1992,General Election,Winnipeg,,Martin BARNES,Office of Mayor,526,No
October 23 1974,General Election,Maybank,,Elizabeth IRETON,Office of Councillor,693,Yes
October 26 1983,General Election,Corydon,,Greg MERNER,Office of Councillor,1918,No
October 22 2014,General Election,Pembina Trails School Division,3,Osaed KHAN,Office of School Trustee,3214,No
October 25 2006,General Election,River Heights-Fort Garry,,Brenda LEIPSIC,Office of Councillor,6719,Yes
October 28 1998,General Election,Fort Garry School Division,3,Richard DOOLEY,Office of School Trustee,1625,No
October 22 1986,General Election,Fort Garry School Division,1,Dorothy RENNIE,Office of School Trustee,1034,Yes
November 17 1999,By-Election,St. Boniface School Division,1,Mona SCOTT,Office of School Trustee,181,No
October 22 1986,General Election,River East School Division,3,Allen ROUSE,Office of School Trustee,3619,Yes
October 22 1986,General Election,St. Boniface School Division,,Anita CHAPMAN,Office of School Trustee,4048,Yes
October 23 2002,General Election,Old Kildonan,,Luciano VACCA,Office of Councillor,1690,No
October 28 1992,General Election,River East School Division,3,Adele KOROLYK,Office of School Trustee,2593,No
October 26 1977,General Election,Winnipeg School Division,1,J.M. YAKMISSION,Office of School Trustee,2942,No
October 26 1989,General Election,River Heights,,Christine MCKEE,Office of Councillor,3700,Yes
October 28 1998,General Election,Fort Garry School Division,1,Nancy READ,Office of School Trustee,1813,Yes
October 22 1986,General Election,River East School Division,2,Ken BARCHUK,Office of School Trustee,1600,No
October 28 1992,General Election,Old Kildonan,,Marion KRAUSE,Office of Councillor,4626,No
October 27 2010,General Election,Daniel McIntyre,,Harvey SMITH,Office of Councillor,3251,Yes
October 22 1986,General Election,Henderson,,Don MITCHELSON,Office of Councillor,4278,Yes
October 25 2006,General Election,Mynarski,,Robert GALSTON,Office of Councillor,315,No
October 23 1974,General Election,Springfield Heights,,Paul MARLOWE,Office of Councillor,1200,No
October 26 1995,General Election,River East School Division,1,Victor VRSNIK,Office of School Trustee,2163,No
October 26 1989,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Eric JONASSON,Office of School Trustee,2420,Yes
October 22 2014,General Election,Winnipeg School Division,9,Michael PAJEMOLIN,Office of School Trustee,2125,No
October 28 1992,General Election,Winnipeg School Division,3,Roy PRICE,Office of School Trustee,2314,No
October 26 1989,General Election,Norwood School Division,,Monica SCHADE,Office of School Trustee,898,No
October 23 2002,General Election,River East Transcona School Division,1,Dwayne CHARLES,Office of School Trustee,1185,No
October 22 1986,General Election,Winnipeg,,Nick TERNETTE,Office of Mayor,3060,No
October 26 1983,General Election,Tuxedo Heights,,Bill NEVILLE,Office of Councillor,0,Yes
October 23 1974,General Election,Ross House,,Violet STOPPEL,Office of Councillor,65,No
October 26 1989,General Election,River Heights,,Bert GOETZ,Office of Councillor,626,No
October 26 1983,General Election,Notre Dame,,Joe SHARP,Office of Councillor,908,No
October 25 2006,General Election,St. Vital,,Markus BUCHART,Office of Councillor,1049,No
October 23 2002,General Election,Winnipeg School Division,1,Warren J. STEEN,Office of School Trustee,3450,No
October 28 1992,General Election,Elmwood,,Lillian THOMAS,Office of Councillor,6708,Yes
October 25 2006,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Dave SCHIOLER,Office of School Trustee,1892,No
October 22 1986,General Election,Assiniboine South School Division,1,Wendy MOROZ,Office of School Trustee,676,Yes
June 22 2004,By-Election,Louis Riel School Division,4,Patrick LEBLANC,Office of School Trustee,4912,No
October 27 2010,General Election,Charleswood-Tuxedo,,Steve SZEGO,Office of Councillor,1955,No
October 26 1977,General Election,Riverview,,Don GERRIE,Office of Councillor,2918,Yes
October 26 1989,General Election,St. Vital School Division,,Mary MULDER,Office of School Trustee,4818,Yes
October 28 1998,General Election,St. Vital School Division,,Kevin KEHLER,Office of School Trustee,5149,No
October 26 1995,General Election,St. James,,Kirk STANLEY,Office of Councillor,1080,No
October 27 2010,General Election,Louis Riel School Division,3,Dave RICHARDSON,Office of School Trustee,7485,Yes
October 26 1977,General Election,Seven Oaks School Division,3,Ben ZAIDMAN,Office of School Trustee,3624,Yes
October 22 1986,General Election,Winnipeg School Division,3,Dave BROUGH,Office of School Trustee,1875,No
October 25 2006,General Election,Louis Riel School Division,1,Gary GERVAIS,Office of School Trustee,3232,Yes
October 26 1977,General Election,River East School Division,1,Helen MAYBA,Office of School Trustee,3299,Yes
October 26 1989,General Election,Redboine,,Barry MARCHAND,Office of Councillor,405,No
October 26 1995,General Election,St. Vital School Division,,Randy PTASHNICK,Office of School Trustee,2964,No
October 26 1977,General Election,St. Vital School Division,,Donald PENNER,Office of School Trustee,5096,Yes
October 23 1974,General Election,Seven Oaks School Division,3,Ken SEAFORD,Office of School Trustee,1958,No
October 26 1977,General Election,Notre Dame,,Al SMITH,Office of Councillor,1047,No
October 26 1995,General Election,St. Vital School Division,,Dave FASANO,Office of School Trustee,3477,No
October 27 2010,General Election,River East Transcona School Division,4,Wayne RITCHER,Office of School Trustee,3187,Yes
October 22 2014,General Election,St. Vital,,Steven HENNESSEY,Office of Councillor,1940,No
October 23 1974,General Election,River East School Division,2,Douglas GILLESPIE,Office of School Trustee,782,Yes
October 26 1995,General Election,Mynarski,,Harry LAZARENKO,Office of Councillor,0,Yes
October 26 1995,General Election,Fort Garry School Division,4,Desmond WHITE,Office of School Trustee,1296,No
May 16 2000,By-Election,St. Boniface School Division,3,George PROVOST,Office of School Trustee,106,No
October 22 1986,General Election,Winnipeg School Division,2,Enid GILLESPIE,Office of School Trustee,3649,Yes
April 14 2005,By-Election,St. Norbert,,Robert PAGE,Office of Councillor,453,No
November 09 1999,By-Election,River East School Division,3,Barbara BUFFIE,Office of School Trustee,686,Yes
October 28 1998,General Election,Seven Oaks School Division,2,Judy SILVER,Office of School Trustee,4776,Yes
October 26 1983,General Election,St. Boniface School Division,,Claire TOEWS,Office of School Trustee,4062,No
October 23 2002,General Election,Winnipeg School Division,3,Stan TOMCHUK,Office of School Trustee,2371,No
October 26 1995,General Election,River East School Division,1,Helen MAYBA,Office of School Trustee,3971,Yes
October 28 1992,General Election,Point Douglas,,Stan NIZOL,Office of Councillor,340,No
October 28 1992,General Election,Point Douglas,,Sandi FUNK,Office of Councillor,1256,No
October 26 1983,General Election,St. Vital School Division,,John DENISET,Office of School Trustee,4858,Yes
October 28 1992,General Election,Fort Garry School Division,3,Caryl NELSON-FITZPATRICK,Office of School Trustee,2147,No
October 26 1983,General Election,Miles MacDonnell,,Steve PRYSTUPA,Office of Councillor,2424,No
October 28 1998,General Election,River East School Division,3,Brian OLYNIK,Office of School Trustee,5136,Yes
October 26 1995,General Election,Transcona-Springfield School Division,1,Kim MILNE,Office of School Trustee,1295,No
October 23 1974,General Election,Jefferson,,George STREWCHUK,Office of Councillor,361,No
October 26 1989,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Sandra PATTERSON,Office of School Trustee,1824,No
October 26 1989,General Election,River East School Division,3,Stan WILLIAMS,Office of School Trustee,814,Yes
October 26 1989,General Election,Winnipeg School Division,3,Ed KOWALCHUK,Office of School Trustee,7029,Yes
October 28 1992,General Election,River East School Division,3,Bill DUECK,Office of School Trustee,4459,Yes
October 26 2022,General Election,Winnipeg,,Glen MURRAY,Office of Mayor,49272,No
October 28 1992,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Bruce CHEGUS,Office of School Trustee,0,Yes
October 28 1992,General Election,Transcona,,Rick BOYCHUK,Office of Councillor,7800,Yes
October 28 1998,General Election,Winnipeg,,Manny DOES,Office of Mayor,1886,No
October 22 2014,General Election,Winnipeg School Division,8,Jerald FUNK,Office of School Trustee,272,No
October 22 1986,General Election,Seven Oaks School Division,3,Raymond SMELSKY,Office of School Trustee,1424,No
October 26 1995,General Election,St. Vital School Division,,Doug HAINES,Office of School Trustee,2075,No
October 23 2002,General Election,River East Transcona School Division,3,David GRESKIW,Office of School Trustee,879,No
October 23 2002,General Election,River East Transcona School Division,4,Starla GINTER,Office of School Trustee,2212,No
October 27 2010,General Election,Pembina Trails School Division,2,Tim JOHNSON,Office of School Trustee,7134,Yes
October 23 1974,General Election,St. James-Assiniboia School Division,,Gerrie HAMMOND,Office of School Trustee,3761,No
October 22 1986,General Election,Winnipeg,,Allen BLEICH,Office of Mayor,1199,No
October 28 1992,General Election,River Heights,,Sandy HYMAN,Office of Councillor,7647,Yes
October 26 1983,General Election,Seven Oaks School Division,2,Ted DAVIES,Office of School Trustee,930,No
June 11 2016,By-Election,River East Transcona School Division,3,Peter MANASTYRSKY,Office of School Trustee,161,No
October 26 1995,General Election,Seven Oaks School Division,3,Lawrence FEDOWICH,Office of School Trustee,2293,No
October 25 2006,General Election,Mynarski,,Harry LAZARENKO,Office of Councillor,3921,Yes
October 28 1998,General Election,River Heights,,Garth STEEK,Office of Councillor,11305,Yes
October 26 1989,General Election,Seven Oaks School Division,3,John STAIRS,Office of School Trustee,1911,No
October 22 1986,General Election,Fort Garry School Division,3,Henry JANZEN,Office of School Trustee,1695,Yes
October 23 1974,General Election,Miles MacDonnell,,Michael RUTA,Office of Councillor,1037,Yes
October 23 1974,General Election,Norwood School Division,,Kenneth BONIN,Office of School Trustee,1280,No
October 26 1977,General Election,Winnipeg,,John MCDERMID,Office of Mayor,1614,No
October 28 1992,General Election,Winnipeg School Division,2,Bob WILSON,Office of School Trustee,4596,No
October 26 1995,General Election,Winnipeg School Division,2,Ana VERNAUS,Office of School Trustee,1488,No
October 26 1977,General Election,Charleswood,,Bill CLEMENT,Office of Councillor,1433,No
October 22 1986,General Election,Assiniboine South School Division,1,Joanne MAXWELL,Office of School Trustee,576,No
October 25 2006,General Election,Seven Oaks School Division,2,Jaswinder S. SANDHU,Office of School Trustee,2032,No
October 26 1983,General Election,Sargent Park,,Geoff DIXON,Office of Councillor,2895,No
October 26 1983,General Election,Norwood School Division,,Tom MUIR,Office of School Trustee,2309,Yes
October 25 2006,General Election,River East Transcona School Division,1,George MARSHALL,Office of School Trustee,3838,Yes
October 26 1989,General Election,Seven Oaks School Division,2,Ted DAVIES,Office of School Trustee,957,No
October 26 1983,General Election,Winnipeg School Division,3,Ed KOWALCHUK,Office of School Trustee,6877,Yes
October 23 1974,General Election,St. Boniface School Division,,Marcel CHAMPAGNE,Office of School Trustee,2091,No
October 27 2010,General Election,Winnipeg School Division,3,Roy HARGRAVE,Office of School Trustee,4308,No
October 28 1992,General Election,Winnipeg,,James W. MILLER,Office of Mayor,500,No
October 28 1998,General Election,Seven Oaks School Division,2,Bill MCGOWAN,Office of School Trustee,3530,Yes
June 22 2004,By-Election,River Heights-Fort Garry,,Brook JONES,Office of Councillor,1554,No
October 22 2014,General Election,St. James-Brooklands,,Fred MORRIS,Office of Councillor,828,No
October 23 2002,General Election,Daniel McIntyre,,Resty TARUC,Office of Councillor,1856,No
October 28 1992,General Election,Seven Oaks School Division,2,Philip POLIMENI,Office of School Trustee,691,No
October 23 1974,General Election,Glenlawn,,John DENISET,Office of Councillor,1208,No
October 26 1983,General Election,St. Vital School Division,,Donald DUNLOP,Office of School Trustee,1967,No
October 28 1992,General Election,St. Charles,,Tom MILLER,Office of Councillor,4419,No
October 27 2010,General Election,St. Boniface,,Dan VANDAL,Office of Councillor,15242,Yes
October 22 2014,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Bruce CHEGUS,Office of School Trustee,4981,Yes
October 26 1983,General Election,Winnipeg School Division,1,Esther SIMS,Office of School Trustee,10206,Yes
October 22 2014,General Election,St. James-Brooklands,,Stefan JONASSON,Office of Councillor,2292,No
October 28 1998,General Election,River East School Division,3,Ron SCHULER,Office of School Trustee,5772,Yes
October 22 1986,General Election,St. Vital School Division,,Rey PAGTAKHAN,Office of School Trustee,4101,Yes
